,,CT,CT,,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,std,CV%,count,CI_lower,CI_upper,,,,Amp,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,
Amp,Quantity,,,,,,,,,,Quantity,-4,-3,-2,-1,0,1,2,3,-5,-4,-3,-2,-1,0,1,2,3,-1,0,1,2,3,-6,-5,-4,-3,-2,-1,0,1,2,3,-5,-4,-3,-2,-1,0,1,2,3,-5,-4,-3,-2,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-5,-4,-3,-2,-1,0,1,2,3,
1,-4,38.4225,0.012020815,0.03%,2,38.314,38.531,,CT,mean,,38.423,37.482,36.001,32.092,28.901,25.309,21.754,17.651,35.191,32.122,28.620,27.163,23.635,20.213,16.836,13.077,8.585,23.157,17.740,16.142,12.625,9.238,38.607,35.755,32.221,28.690,26.487,22.943,19.892,16.251,12.749,8.433,36.313,32.144,28.217,26.576,23.154,19.815,16.504,12.720,8.196,35.507,32.419,28.597,26.106,22.561,19.569,15.935,12.198,8.291,23.909,20.526,17.094,13.654,9.995,22.306,18.929,15.560,12.127,8.531,36.293,33.284,28.834,26.386,22.936,19.697,16.649,12.706,8.541,
1,-3,37.482,1.289762769,3.44%,2,25.894,49.07,,CT,std,,0.012,1.290,1.004,0.991,1.191,1.020,1.206,0.333,1.051,0.236,0.026,1.058,1.225,1.161,1.233,1.069,0.373,0.034,2.289,0.012,0.010,0.032,1.025,0.768,0.106,0.389,1.030,1.229,1.033,1.150,0.938,0.352,,,,1.228,1.276,1.058,1.161,0.838,0.421,0.627,0.776,0.289,0.919,0.851,1.303,0.934,0.669,0.401,0.053,0.019,0.028,0.028,0.047,0.008,0.012,0.047,0.003,0.009,,,0.201,0.923,0.828,0.734,1.090,0.705,0.308,
1,-2,36.00133333,1.003611412,2.79%,6,34.948,37.055,,,CV%,,0.03%,3.44%,2.79%,3.09%,4.12%,4.03%,5.54%,1.88%,2.99%,0.73%,0.09%,3.89%,5.18%,5.74%,7.32%,8.18%,4.34%,0.15%,12.90%,0.07%,0.08%,0.34%,2.66%,2.15%,0.33%,1.35%,3.89%,5.36%,5.19%,7.08%,7.36%,4.18%,0.00%,0.00%,0.00%,4.62%,5.51%,5.34%,7.03%,6.58%,5.14%,1.77%,2.39%,1.01%,3.52%,3.77%,6.66%,5.86%,5.48%,4.84%,0.22%,0.09%,0.16%,0.21%,0.47%,0.03%,0.06%,0.30%,0.02%,0.11%,0.00%,0.00%,0.70%,3.50%,3.61%,3.73%,6.55%,5.55%,3.61%,
1,-1,32.091625,0.991498856,3.09%,8,31.263,32.921,,,,,"(38.314, 38.531)","(25.894, 49.07)","(34.948, 37.055)","(31.263, 32.921)","(28.101, 29.701)","(24.456, 26.161)","(20.943, 22.564)","(16.824, 18.477)","(33.518, 36.864)","(31.746, 32.497)","(28.579, 28.661)","(26.49, 27.835)","(22.927, 24.342)","(19.617, 20.81)","(16.124, 17.547)","(12.527, 13.627)","(7.659, 9.512)","(22.852, 23.462)","(-2.825, 38.304)","(16.033, 16.25)","(12.536, 12.714)","(8.952, 9.523)","(29.395, 47.819)","(34.533, 36.976)","(32.051, 32.39)","(28.071, 29.308)","(25.917, 27.058)","(22.311, 23.575)","(19.361, 20.423)","(15.66, 16.843)","(12.267, 13.231)","(8.063, 8.802)","(36.313, 36.313)","(32.144, 32.144)","(28.217, 28.217)","(25.796, 27.357)","(22.417, 23.89)","(19.204, 20.426)","(15.833, 17.174)","(12.236, 13.203)","(7.15, 9.243)","(34.509, 36.505)","(31.605, 33.233)","(28.293, 28.901)","(25.522, 26.69)","(22.021, 23.102)","(18.899, 20.239)","(15.342, 16.528)","(11.854, 12.542)","(7.294, 9.288)","(23.432, 24.385)","(20.354, 20.697)","(16.846, 17.341)","(13.4, 13.908)","(9.576, 10.414)","(22.236, 22.375)","(18.82, 19.037)","(15.141, 15.979)","(12.102, 12.152)","(8.448, 8.613)","(36.293, 36.293)","(33.284, 33.284)","(28.334, 29.334)","(25.799, 26.972)","(22.458, 23.414)","(19.23, 20.163)","(16.02, 17.278)","(12.299, 13.112)","(7.776, 9.306)",
1,0,28.90118182,1.19113457,4.12%,11,28.101,29.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,25.308625,1.019998171,4.03%,8,24.456,26.161,,,,,2,2,6,8,11,8,11,3,4,4,4,12,14,17,14,17,3,2,2,2,2,2,2,4,4,4,15,17,17,17,17,6,1,1,1,12,14,14,14,14,3,4,6,6,12,12,17,12,17,3,2,2,2,2,2,2,2,2,2,2,1,1,3,12,14,12,14,14,3,
1,2,21.75372727,1.206159864,5.54%,11,20.943,22.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,17.65066667,0.332626417,1.88%,3,16.824,18.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-5,35.191,1.051262416,2.99%,4,33.518,36.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-4,32.1215,0.235832568,0.73%,4,31.746,32.497,,,CI_lower,,38.314,25.894,34.948,31.263,28.101,24.456,20.943,16.824,33.518,31.746,28.579,26.49,22.927,19.617,16.124,12.527,7.659,22.852,-2.825,16.033,12.536,8.952,29.395,34.533,32.051,28.071,25.917,22.311,19.361,15.66,12.267,8.063,36.313,32.144,28.217,25.796,22.417,19.204,15.833,12.236,7.15,34.509,31.605,28.293,25.522,22.021,18.899,15.342,11.854,7.294,23.432,20.354,16.846,13.4,9.576,22.236,18.82,15.141,12.102,8.448,36.293,33.284,28.334,25.799,22.458,19.23,16.02,12.299,7.776,
2,-3,28.61975,0.025785978,0.09%,4,28.579,28.661,,,CI_upper,,38.531,49.07,37.055,32.921,29.701,26.161,22.564,18.477,36.864,32.497,28.661,27.835,24.342,20.81,17.547,13.627,9.512,23.462,38.304,16.25,12.714,9.523,47.819,36.976,32.39,29.308,27.058,23.575,20.423,16.843,13.231,8.802,36.313,32.144,28.217,27.357,23.89,20.426,17.174,13.203,9.243,36.505,33.233,28.901,26.69,23.102,20.239,16.528,12.542,9.288,24.385,20.697,17.341,13.908,10.414,22.375,19.037,15.979,12.152,8.613,36.293,33.284,29.334,26.972,23.414,20.163,17.278,13.112,9.306,
2,-2,27.1625,1.057734586,3.89%,12,26.49,27.835,,,,,,38.314,25.894,34.948,31.263,28.101,24.456,20.943,16.824,33.518,31.746,28.579,26.49,22.927,19.617,16.124,12.527,7.659,22.852,-2.825,16.033,12.536,8.952,29.395,34.533,32.051,28.071,25.917,22.311,19.361,15.66,12.267,8.063,36.313,32.144,28.217,25.796,22.417,19.204,15.833,12.236,7.15,34.509,31.605,28.293,25.522,22.021,18.899,15.342,11.854,7.294,23.432,20.354,16.846,13.4,9.576,22.236,18.82,15.141,12.102,8.448,36.293,33.284,28.334,25.799,22.458,19.23,16.02,12.299,7.776
2,-1,23.63492857,1.225351282,5.18%,14,22.927,24.342,,,,,,38.531,49.07,37.055,32.921,29.701,26.161,22.564,18.477,36.864,32.497,28.661,27.835,24.342,20.81,17.547,13.627,9.512,23.462,38.304,16.25,12.714,9.523,47.819,36.976,32.39,29.308,27.058,23.575,20.423,16.843,13.231,8.802,36.313,32.144,28.217,27.357,23.89,20.426,17.174,13.203,9.243,36.505,33.233,28.901,26.69,23.102,20.239,16.528,12.542,9.288,24.385,20.697,17.341,13.908,10.414,22.375,19.037,15.979,12.152,8.613,36.293,33.284,29.334,26.972,23.414,20.163,17.278,13.112,9.306
2,0,20.21347059,1.160690264,5.74%,17,19.617,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,16.83571429,1.232721594,7.32%,14,16.124,17.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,13.07723529,1.069242929,8.18%,17,12.527,13.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,8.585333333,0.373021894,4.34%,3,7.659,9.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1,23.157,0.033941125,0.15%,2,22.852,23.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,17.7395,2.288904651,12.90%,2,-2.825,38.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,16.1415,0.012020815,0.07%,2,16.033,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,12.625,0.009899495,0.08%,2,12.536,12.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,9.2375,0.031819805,0.34%,2,8.952,9.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-6,38.607,1.025304833,2.66%,2,29.395,47.819,,,,,1,-3.087,111%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-5,35.7545,0.767582569,2.15%,4,34.533,36.976,,,,,2,-3.235,104%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-4,32.2205,0.106346917,0.33%,4,32.051,32.39,,,,,3,-3.295,101%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-3,28.6895,0.388733413,1.35%,4,28.071,29.308,,,,,4,-3.287,101%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-2,26.4872,1.029904309,3.89%,15,25.917,27.058,,,,,5,-3.349,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-1,22.94311765,1.228821838,5.36%,17,22.311,23.575,,,,,7,-3.356,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,19.89217647,1.033191671,5.19%,17,19.361,20.423,,,,,8,-3.47,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,16.25117647,1.150331541,7.08%,17,15.66,16.843,,,,,9,-3.435,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,12.74905882,0.937954721,7.36%,17,12.267,13.231,,,,,10,-3.397,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,8.432666667,0.352348502,4.18%,6,8.063,8.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-5,36.313,,0.00%,1,36.313,36.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-4,32.144,,0.00%,1,32.144,32.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-3,28.217,,0.00%,1,28.217,28.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-2,26.57641667,1.228167923,4.62%,12,25.796,27.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1,23.15385714,1.275599277,5.51%,14,22.417,23.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,19.81528571,1.058488576,5.34%,14,19.204,20.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,16.50371429,1.161000658,7.03%,14,15.833,17.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,12.71964286,0.837529389,6.58%,14,12.236,13.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,8.196333333,0.421142889,5.14%,3,7.15,9.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-5,35.507,0.627470052,1.77%,4,34.509,36.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-4,32.419,0.775954638,2.39%,6,31.605,33.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-3,28.597,0.289423565,1.01%,6,28.293,28.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-2,26.10591667,0.918683788,3.52%,12,25.522,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1,22.56141667,0.851141635,3.77%,12,22.021,23.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,19.56888235,1.303337105,6.66%,17,18.899,20.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,15.93508333,0.933801269,5.86%,12,15.342,16.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,12.19788235,0.668695828,5.48%,17,11.854,12.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,8.290666667,0.40134067,4.84%,3,7.294,9.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1,23.9085,0.053033009,0.22%,2,23.432,24.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,20.5255,0.019091883,0.09%,2,20.354,20.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,17.0935,0.027577164,0.16%,2,16.846,17.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,13.654,0.028284271,0.21%,2,13.4,13.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,9.995,0.046669048,0.47%,2,9.576,10.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1,22.3055,0.007778175,0.03%,2,22.236,22.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,18.9285,0.012020815,0.06%,2,18.82,19.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,15.56,0.046669048,0.30%,2,15.141,15.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,12.127,0.002828427,0.02%,2,12.102,12.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,8.5305,0.009192388,0.11%,2,8.448,8.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-5,36.293,,0.00%,1,36.293,36.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-4,33.284,,0.00%,1,33.284,33.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-3,28.834,0.201129312,0.70%,3,28.334,29.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-2,26.38583333,0.92329576,3.50%,12,25.799,26.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1,22.93628571,0.827980251,3.61%,14,22.458,23.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,19.6965,0.734493332,3.73%,12,19.23,20.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,16.649,1.089855036,6.55%,14,16.02,17.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,12.70557143,0.704632661,5.55%,14,12.299,13.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,8.541,0.308121729,3.61%,3,7.776,9.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
